Price	Carat	Clarity	Color	Cut	Source	Year
1000	0.3	6	5	2	Debswana	1979
1000	0.44	3	5	2	RioTinto	2001
1000	0.31	6	5	2	Debswana	1982
1000	0.66	2	11	2	RioTinto	2004
1000	0.47	3	8	3	Debswana	2015
1000	0.4	4	7	2	RioTinto	1987
1000	0.36	3	4	2	Debswana	1985
1000	0.52	1	8	3	DeBeers	1990
1001	0.53	1	4	3	Debswana	1995
1001	0.43	3	6	2	Alrosa	1981
1001	0.43	3	6	3	DeBeers	1964
1001	0.43	3	6	3	DeBeers	1993
1001	0.3	6	5	4	Alrosa	2013
1001	0.47	3	9	2	RioTinto	1987
1001	0.41	3	5	2	Debswana	1997
1001	0.44	2	4	2	RioTinto	1963
1001	0.36	5	6	2	RioTinto	2008
1001	0.4	4	5	4	RioTinto	2017
1001	0.4	4	5	4	DeBeers	2016
1002	0.32	7	6	3	Debswana	1986
1002	0.5	1	6	3	RioTinto	1996
1002	0.5	2	8	4	Alrosa	1998
1002	0.36	4	5	2	Alrosa	2017
1002	0.44	3	5	2	RioTinto	1986
1002	0.31	6	5	3	Debswana	2013
1017	0.45	3	6	3	Debswana	2017
1017	0.51	2	9	3	Alrosa	1997
1017	0.3	6	5	2	Alrosa	2000
1017	0.51	2	9	1	DeBeers	1985
1018	0.41	4	7	1	Debswana	1967
1018	0.31	6	5	2	Debswana	1987
1018	0.31	6	5	2	Debswana	2010
1018	0.31	6	5	3	RioTinto	2002
1018	0.31	6	5	3	Alrosa	2015
1018	0.31	6	5	2	Alrosa	1978
1018	0.31	6	5	2	RioTinto	2017
1018	0.31	6	5	2	Alrosa	1979
1018	0.31	6	5	3	DeBeers	1972
1018	0.4	5	6	3	Debswana	1996
1018	0.31	7	5	3	RioTinto	1993
1018	0.31	7	5	3	DeBeers	1988
1019	0.42	5	7	2	Debswana	1964
1019	0.33	5	4	1	Alrosa	1996
1019	0.37	6	8	2	Alrosa	2007
1019	0.45	6	10	3	Debswana	2010
1019	0.4	4	5	4	Debswana	1980
1019	0.4	4	5	3	Alrosa	2012
1019	0.32	6	4	3	Alrosa	2017
1019	0.32	6	4	2	RioTinto	1990
1019	0.37	5	4	2	Debswana	1974
1036	0.33	6	5	2	Debswana	2012
1036	0.33	6	5	1	RioTinto	1984
1037	0.37	5	5	3	RioTinto	1997
1037	0.37	5	5	3	RioTinto	1991
1037	0.43	3	4	2	DeBeers	2004
1037	0.43	3	4	2	Debswana	1986
1037	0.43	3	4	2	Debswana	1968
1037	0.43	3	4	2	Alrosa	2000
1037	0.43	3	4	2	Alrosa	2013
1037	0.34	6	4	2	RioTinto	2015
1037	0.37	6	5	2	DeBeers	2011
